Time (min)	Step (s)	Value (EU)
20.575000	0.5	-0.134727
20.583333	0.5	-0.134922
20.591667	0.5	-0.138828
20.600000	0.5	-0.147422
20.608333	0.5	-0.155235
20.616667	0.5	-0.157383
20.625000	0.5	-0.152891
20.633333	0.5	-0.143907
20.641667	0.5	-0.135118
20.650000	0.5	-0.129453
20.658333	0.5	-0.127305
20.666667	0.5	-0.128868
20.675000	0.5	-0.134141
20.683333	0.5	-0.140782
20.691667	0.5	-0.145469
20.700000	0.5	-0.143907
20.708333	0.5	-0.137266
20.716667	0.5	-0.129453
20.725000	0.5	-0.124961
20.733333	0.5	-0.124571
20.741667	0.5	-0.126524
20.750000	0.5	-0.128868
20.758333	0.5	-0.130625
20.766667	0.5	-0.131602
20.775000	0.5	-0.132578
20.783333	0.5	-0.132774
20.791667	0.5	-0.131211
20.800000	0.5	-0.128868
20.808333	0.5	-0.125352
20.816667	0.5	-0.121641
20.825000	0.5	-0.120469
20.833333	0.5	-0.121641
20.841667	0.5	-0.126328
20.850000	0.5	-0.130039
20.858333	0.5	-0.133555
20.866667	0.5	-0.134141
20.875000	0.5	-0.133360
20.883333	0.5	-0.132578
20.891667	0.5	-0.133946
20.900000	0.5	-0.136875
20.908333	0.5	-0.139805
20.916667	0.5	-0.142735
20.925000	0.5	-0.145078
20.933333	0.5	-0.148399
20.941667	0.5	-0.152110
20.950000	0.5	-0.155235
20.958333	0.5	-0.155039
20.966667	0.5	-0.152500
20.975000	0.5	-0.148594
20.983333	0.5	-0.145274
20.991667	0.5	-0.141563
21.000000	0.5	-0.135899
21.008333	0.5	-0.130235
21.016667	0.5	-0.125743
21.025000	0.5	-0.125547
21.033333	0.5	-0.128477
21.041667	0.5	-0.130235
21.050000	0.5	-0.127500
21.058333	0.5	-0.120860
21.066667	0.5	-0.115000
21.075000	0.5	-0.114024
21.083333	0.5	-0.117930
21.091667	0.5	-0.125938
21.100000	0.5	-0.131993
21.108333	0.5	-0.132578
21.116667	0.5	-0.128672
21.125000	0.5	-0.122032
21.133333	0.5	-0.119493
21.141667	0.5	-0.121250
21.150000	0.5	-0.124375
21.158333	0.5	-0.125743
21.166667	0.5	-0.124375
21.175000	0.5	-0.122813
21.183333	0.5	-0.125352
21.191667	0.5	-0.129258
21.200000	0.5	-0.133360
21.208333	0.5	-0.135118
21.216667	0.5	-0.132969
21.225000	0.5	-0.128672
21.233333	0.5	-0.126328
21.241667	0.5	-0.127500
21.250000	0.5	-0.131016
21.258333	0.5	-0.133750
21.266667	0.5	-0.133360
21.275000	0.5	-0.131211
21.283333	0.5	-0.128477
21.291667	0.5	-0.126133
21.300000	0.5	-0.122422
21.308333	0.5	-0.119883
21.316667	0.5	-0.119688
21.325000	0.5	-0.123985
21.333333	0.5	-0.129844
21.341667	0.5	-0.135313
21.350000	0.5	-0.138633
21.358333	0.5	-0.137657
21.366667	0.5	-0.132774
21.375000	0.5	-0.126524
21.383333	0.5	-0.120860
21.391667	0.5	-0.119493
21.400000	0.5	-0.120469
21.408333	0.5	-0.120274
21.416667	0.5	-0.118907
21.425000	0.5	-0.118321
21.433333	0.5	-0.119102
21.441667	0.5	-0.121446
21.450000	0.5	-0.123985
21.458333	0.5	-0.125157
21.466667	0.5	-0.123985
21.475000	0.5	-0.121836
21.483333	0.5	-0.119493
21.491667	0.5	-0.115586
21.500000	0.5	-0.111289
21.508333	0.5	-0.107188
21.516667	0.5	-0.105039
21.525000	0.5	-0.101914
21.533333	0.5	-0.095860
21.541667	0.5	-0.083750
21.550000	0.5	-0.067149
21.558333	0.5	-0.050157
21.566667	0.5	-0.032383
21.575000	0.5	-0.015977
21.583333	0.5	0.003750
21.591667	0.5	0.027578
21.600000	0.5	0.057461
21.608333	0.5	0.091250
21.616667	0.5	0.127773
21.625000	0.5	0.163320
